       true unwei.est unwei.se wei.est wei.se
beta00 -4.1    -4.845    0.012  -4.106  0.024
beta10 -4.1    -5.114    0.013  -4.096  0.022
beta20 -4.1    -5.239    0.012  -4.141  0.022
beta30 -4.1    -5.273    0.012  -4.101  0.027
beta40 -4.1    -5.336    0.011  -4.086  0.040
beta50 -4.1    -5.387    0.012  -4.101  0.042
beta60 -4.1    -5.417    0.012  -4.077  0.047
beta70 -4.1    -5.481    0.013  -4.017  0.099
beta80 -4.1    -5.508    0.014  -4.069  0.060
beta90 -4.1    -5.579    0.016  -3.908  0.126
beta1   0.5     0.422    0.005   0.533  0.015
beta2   0.5     0.364    0.011   0.523  0.033
beta3  -1.0     0.596    0.012  -1.022  0.024
beta4   0.0     0.001    0.001  -0.007  0.005
beta5   0.0     0.009    0.002  -0.014  0.012
beta6   0.0     0.081    0.002   0.006  0.008
