       true unwei.est unwei.se wei.est wei.se
beta00 -1.2    -1.564    0.015  -1.196  0.018
beta10 -1.2    -1.621    0.016  -1.175  0.018
beta20 -1.2    -1.615    0.016  -1.167  0.020
beta30 -1.2    -1.570    0.018  -1.174  0.024
beta40 -1.2    -1.558    0.020  -1.218  0.029
beta50 -1.2    -1.528    0.022  -1.246  0.037
beta60 -1.2    -1.476    0.025  -1.130  0.074
beta70 -1.2    -1.480    0.028  -1.238  0.059
beta80 -1.2    -1.425    0.031  -1.250  0.073
beta90 -1.2    -1.408    0.035  -1.253  0.087
beta1   0.5     0.456    0.008   0.510  0.011
beta2   0.5     0.419    0.016   0.490  0.020
beta3  -1.0    -0.019    0.016  -0.986  0.019
beta4   0.0     0.011    0.002   0.000  0.005
beta5   0.0     0.019    0.004   0.000  0.009
beta6   0.0     0.050    0.005  -0.004  0.008
